complaint_text,department,category,priority,clean_text
"Burst water pipe reported on the service road parallel to NH-44, near the petrol pump; huge amounts of water are being wasted.",Water Supply,Leakage,High,"burst water pipe reported on the service road parallel to nh44, near the petrol pump huge amounts of water are being wasted."
"Main line leakage causing severe waterlogging outside C-Block, Akash Ganga Apartments, posing a health hazard.",Water Supply,Leakage,High,"main line leakage causing severe waterlogging outside cblock, akash ganga apartments, posing a health hazard."
"Continuous heavy flow of water from a broken municipal pipe near the BSNL exchange building, Pratap Vihar.",Water Supply,Leakage,High,"continuous heavy flow of water from a broken municipal pipe near the bsnl exchange building, pratap vihar."
Urgent repair needed for the main water line bursting near Gandhi Chowk; the entire intersection is flooded.,Water Supply,Leakage,High,urgent repair needed for the main water line bursting near gandhi chowk the entire intersection is flooded.
Severe leakage from the communal water tap in the slum area behind railway station; countless liters are going to waste.,Water Supply,Leakage,High,severe leakage from the communal water tap in the slum area behind railway station countless liters are going to waste.
"The water pipe leading to our complex (Sunrise Residency, Tower C) has a major leak underground, causing the compound to be constantly wet.",Water Supply,Leakage,High,"the water pipe leading to our complex sunrise residency, tower c has a major leak underground, causing the compound to be constantly wet."
"A large crack in the main water supply pipe on Temple Road, near Sai Baba Temple, is spewing water onto the street.",Water Supply,Leakage,High,"a large crack in the main water supply pipe on temple road, near sai baba temple, is spewing water onto the street."
"Water is gushing out from a broken pipe near the traffic signal at City Centre, causing a huge pool on the road.",Water Supply,Leakage,High,"water is gushing out from a broken pipe near the traffic signal at city centre, causing a huge pool on the road."
"Main water line leak outside D-10, Defence Colony, making the road slippery and potentially damaging parked vehicles.",Water Supply,Leakage,High,"main water line leak outside d10, defence colony, making the road slippery and potentially damaging parked vehicles."
"Heavy leakage from the municipal water tank overflow pipe, causing constant water flow on the road below and wastage.",Water Supply,Leakage,High,"heavy leakage from the municipal water tank overflow pipe, causing constant water flow on the road below and wastage."
"Burst water pipe near the public library, causing the pavement to collapse in some areas. High priority required.",Water Supply,Leakage,High,"burst water pipe near the public library, causing the pavement to collapse in some areas. high priority required."
"There's a large water leak near the community hall, forcing residents to walk through stagnant water.",Water Supply,Leakage,High,"theres a large water leak near the community hall, forcing residents to walk through stagnant water."
"The primary water supply line for our locality (Shivaji Nagar) has a major leak near the substation, affecting water pressure.",Water Supply,Leakage,High,"the primary water supply line for our locality shivaji nagar has a major leak near the substation, affecting water pressure."
"Urgent: Water pipe burst on Station Road, near the footbridge, creating a dangerous situation for pedestrians.",Water Supply,Leakage,High,"urgent water pipe burst on station road, near the footbridge, creating a dangerous situation for pedestrians."
"Main pipeline leaking heavily on Airport Road, near cargo complex, forming a large swamp on the roadside.",Water Supply,Leakage,High,"main pipeline leaking heavily on airport road, near cargo complex, forming a large swamp on the roadside."
"Constant, heavy water leakage observed at the street corner of Gulab Singh Marg and Saraswati Marg, leading to huge wastage.",Water Supply,Leakage,High,"constant, heavy water leakage observed at the street corner of gulab singh marg and saraswati marg, leading to huge wastage."
"My water connection pipe from the main line is severely leaking underground, causing dampness in my house foundation (H.No. 7, Ram Nagar).",Water Supply,Leakage,High,"my water connection pipe from the main line is severely leaking underground, causing dampness in my house foundation h.no. 7, ram nagar."
"The public standpost at the entrance of slum no. 5 is continuously leaking, wasting water for the entire community.",Water Supply,Leakage,High,"the public standpost at the entrance of slum no. 5 is continuously leaking, wasting water for the entire community."
"Major water leak from the main pipe running along the boundary wall of Government School, Sector 15. The school ground is soggy.",Water Supply,Leakage,High,"major water leak from the main pipe running along the boundary wall of government school, sector 15. the school ground is soggy."
Huge water flow from a burst pipeline on the road leading to the industrial area; several industrial units are affected.,Water Supply,Leakage,High,huge water flow from a burst pipeline on the road leading to the industrial area several industrial units are affected.
"Urgent attention to a gushing water leak on the flyover service lane, near the Metro Station, causing waterlogging.",Water Supply,Leakage,High,"urgent attention to a gushing water leak on the flyover service lane, near the metro station, causing waterlogging."
"Continuous heavy drip/flow from the main water meter connection at my residence, 2B, Apollo Apartments, leading to significant waste.",Water Supply,Leakage,High,"continuous heavy dripflow from the main water meter connection at my residence, 2b, apollo apartments, leading to significant waste."
"The road outside S-32, New Rajendra Nagar, is completely submerged due to a major pipeline leak beneath the surface.",Water Supply,Leakage,High,"the road outside s32, new rajendra nagar, is completely submerged due to a major pipeline leak beneath the surface."
"Serious water wastage due to a large leak on the main water line near the petrol pump, causing slippery conditions for vehicles.",Water Supply,Leakage,High,"serious water wastage due to a large leak on the main water line near the petrol pump, causing slippery conditions for vehicles."
"Burst pipe near the local park entrance, causing water to run into children's play area, creating a muddy mess.",Water Supply,Leakage,High,"burst pipe near the local park entrance, causing water to run into childrens play area, creating a muddy mess."
"Urgent: Water is seeping into the basement of our building (Shop No. 5, Commercial Complex, Mall Road) from an underground municipal pipe leak.",Water Supply,Leakage,High,"urgent water is seeping into the basement of our building shop no. 5, commercial complex, mall road from an underground municipal pipe leak."
"The main water supply line on the bypass road, near the hospital, has a major leak, leading to colossal water loss.",Water Supply,Leakage,High,"the main water supply line on the bypass road, near the hospital, has a major leak, leading to colossal water loss."
"Heavy leakage from a damaged water pipeline near the community well, contaminating the well water (Ranjit Vihar).",Water Supply,Leakage,High,"heavy leakage from a damaged water pipeline near the community well, contaminating the well water ranjit vihar."
"Water pipe burst near the bus depot, causing traffic diversion and substantial water wastage.",Water Supply,Leakage,High,"water pipe burst near the bus depot, causing traffic diversion and substantial water wastage."
"There's a persistent, high-volume leak on the main water line in front of the Collector's Office, causing immense water loss.",Water Supply,Leakage,High,"theres a persistent, highvolume leak on the main water line in front of the collectors office, causing immense water loss."
"Major leak at the junction of Road A and Road B, causing the entire intersection to be waterlogged and dangerous for two-wheelers.",Water Supply,Leakage,High,"major leak at the junction of road a and road b, causing the entire intersection to be waterlogged and dangerous for twowheelers."
"The municipal water pipe running along the pedestrian footpath near the market is leaking profusely, making it impossible to walk.",Water Supply,Leakage,High,"the municipal water pipe running along the pedestrian footpath near the market is leaking profusely, making it impossible to walk."
"Urgent repair required for a burst pipe on the main road in front of the Police Station, causing severe waterlogging.",Water Supply,Leakage,High,"urgent repair required for a burst pipe on the main road in front of the police station, causing severe waterlogging."
"Continuous stream of water flowing from a broken pipe near the entrance of the Housing Board Colony, creating a health hazard.",Water Supply,Leakage,High,"continuous stream of water flowing from a broken pipe near the entrance of the housing board colony, creating a health hazard."
"Water is gushing out from a pipeline under repair on the construction site, near the new flyover, causing environmental damage.",Water Supply,Leakage,High,"water is gushing out from a pipeline under repair on the construction site, near the new flyover, causing environmental damage."
"Large water leak on the main supply line near the railway crossing, leading to long queues and traffic delays due to road damage.",Water Supply,Leakage,High,"large water leak on the main supply line near the railway crossing, leading to long queues and traffic delays due to road damage."
"Urgent: The overhead water tank in our locality (Ram Mandir Nagar) is leaking heavily from its base, showering the surrounding area.",Water Supply,Leakage,High,"urgent the overhead water tank in our locality ram mandir nagar is leaking heavily from its base, showering the surrounding area."
"A significant leakage from the main water pipeline on the bridge, causing constant dampness and potential structural issues.",Water Supply,Leakage,High,"a significant leakage from the main water pipeline on the bridge, causing constant dampness and potential structural issues."
"Water connection to my home (H.No. 17, Vikas Nagar) has a serious leak underground, leading to continuous soil erosion near the foundation.",Water Supply,Leakage,High,"water connection to my home h.no. 17, vikas nagar has a serious leak underground, leading to continuous soil erosion near the foundation."
"Continuous flow of water from a damaged municipal tap in the public park, wasting water throughout the day.",Water Supply,Leakage,High,"continuous flow of water from a damaged municipal tap in the public park, wasting water throughout the day."
"Major water leak from the primary supply line on the road leading to the Industrial Estate, affecting water pressure for all units.",Water Supply,Leakage,High,"major water leak from the primary supply line on the road leading to the industrial estate, affecting water pressure for all units."
"Urgent attention: Burst water pipe at the corner of School Road and Hospital Road, causing a huge flood.",Water Supply,Leakage,High,"urgent attention burst water pipe at the corner of school road and hospital road, causing a huge flood."
"The underground water pipe near the local pond has a severe leak, adding to the pond's water level unnaturally and contaminating it.",Water Supply,Leakage,High,"the underground water pipe near the local pond has a severe leak, adding to the ponds water level unnaturally and contaminating it."
"Heavy leakage from the main water line near the electricity transformer, posing an electrocution risk.",Water Supply,Leakage,High,"heavy leakage from the main water line near the electricity transformer, posing an electrocution risk."
Continuous wastage of water due to a persistent leak from the communal water tap in the Shastri Nagar slum area.,Water Supply,Leakage,High,continuous wastage of water due to a persistent leak from the communal water tap in the shastri nagar slum area.
"Major water leak from the supply pipeline outside the community center, causing waterlogging and a foul smell.",Water Supply,Leakage,High,"major water leak from the supply pipeline outside the community center, causing waterlogging and a foul smell."
"Urgent repair needed for the main pipeline burst near the flyover ramp, causing traffic congestion and making the road slippery.",Water Supply,Leakage,High,"urgent repair needed for the main pipeline burst near the flyover ramp, causing traffic congestion and making the road slippery."
"There's a severe leak from the public water fountain near the market, wasting water continuously for days.",Water Supply,Leakage,High,"theres a severe leak from the public water fountain near the market, wasting water continuously for days."
"Main water supply line for our area (Shivpur) is leaking heavily near the old banyan tree, drastically reducing water pressure.",Water Supply,Leakage,High,"main water supply line for our area shivpur is leaking heavily near the old banyan tree, drastically reducing water pressure."
"Burst pipe outside house no. 45, Gali No. 7, causing water to run into the sewage drain and raising contamination concerns.",Water Supply,Leakage,High,"burst pipe outside house no. 45, gali no. 7, causing water to run into the sewage drain and raising contamination concerns."
"Urgent: Significant leakage from the municipal water pipe on the main road passing through the village of Khedi, impacting local supply.",Water Supply,Leakage,High,"urgent significant leakage from the municipal water pipe on the main road passing through the village of khedi, impacting local supply."
"Continuous flow of water from a broken pipe near the District Court, causing inconvenience to visitors and wastage.",Water Supply,Leakage,High,"continuous flow of water from a broken pipe near the district court, causing inconvenience to visitors and wastage."
"Major water leak from the junction box of the main supply line near the roundabout, creating a hazard for traffic.",Water Supply,Leakage,High,"major water leak from the junction box of the main supply line near the roundabout, creating a hazard for traffic."
"Water is gushing out from a broken pipe on the road leading to the IT Park, causing the road to erode rapidly.",Water Supply,Leakage,High,"water is gushing out from a broken pipe on the road leading to the it park, causing the road to erode rapidly."
"Heavy leakage from the underground water pipeline near the slum cluster on the river bank, making the area marshy and unhygienic.",Water Supply,Leakage,High,"heavy leakage from the underground water pipeline near the slum cluster on the river bank, making the area marshy and unhygienic."
"Urgent attention to a continuous leak from the water meter pit outside H.No. 12, Puranpur, leading to huge wastage and water logging.",Water Supply,Leakage,High,"urgent attention to a continuous leak from the water meter pit outside h.no. 12, puranpur, leading to huge wastage and water logging."
"Main water line supplying our entire colony (Ramakrishna Puram) has a major leak near the entrance gate, severely affecting water supply.",Water Supply,Leakage,High,"main water line supplying our entire colony ramakrishna puram has a major leak near the entrance gate, severely affecting water supply."
"Burst pipe near the government school boundary wall, causing water to flood the playground and making it unusable.",Water Supply,Leakage,High,"burst pipe near the government school boundary wall, causing water to flood the playground and making it unusable."
"Continuous heavy leakage from the main water supply line on the path leading to the cremation ground, causing much distress.",Water Supply,Leakage,High,"continuous heavy leakage from the main water supply line on the path leading to the cremation ground, causing much distress."
"Urgent repair needed for a major leak from the municipal water pipeline near the overhead bridge, creating slippery conditions.",Water Supply,Leakage,High,"urgent repair needed for a major leak from the municipal water pipeline near the overhead bridge, creating slippery conditions."
"Water is constantly flowing from a damaged public water connection near the railway tracks, posing a safety risk.",Water Supply,Leakage,High,"water is constantly flowing from a damaged public water connection near the railway tracks, posing a safety risk."
"Significant leakage from the primary water distribution pipe on the main market street, affecting shops and pedestrians.",Water Supply,Leakage,High,"significant leakage from the primary water distribution pipe on the main market street, affecting shops and pedestrians."
"Burst water pipe near the local pond, causing contamination fears as the water mixes directly.",Water Supply,Leakage,High,"burst water pipe near the local pond, causing contamination fears as the water mixes directly."
"No water supply in our locality for the past three days, please take immediate action.",Water Supply,Shortage,High,"no water supply in our locality for the past three days, please take immediate action."
"Critical water shortage in Ward 7, residents are facing extreme difficulties with daily tasks.",Water Supply,Shortage,High,"critical water shortage in ward 7, residents are facing extreme difficulties with daily tasks."
"Our taps have been completely dry for 48 hours straight, urgent intervention is needed.",Water Supply,Shortage,High,"our taps have been completely dry for 48 hours straight, urgent intervention is needed."
"Only a trickle of water for an hour daily, insufficient for basic household needs.",Water Supply,Shortage,High,"only a trickle of water for an hour daily, insufficient for basic household needs."
"Severe water crisis in Patel Nagar, impacting hygiene and sanitation significantly.",Water Supply,Shortage,High,"severe water crisis in patel nagar, impacting hygiene and sanitation significantly."
The entire neighbourhood of Ganesh Colony has been without water for the last four days.,Water Supply,Shortage,High,the entire neighbourhood of ganesh colony has been without water for the last four days.
"Residents of Gandhi Road are facing a dire lack of drinking water, an emergency situation.",Water Supply,Shortage,High,"residents of gandhi road are facing a dire lack of drinking water, an emergency situation."
"Absolutely no water supply in our apartments since yesterday morning, affecting all residents.",Water Supply,Shortage,High,"absolutely no water supply in our apartments since yesterday morning, affecting all residents."
"This is a high-priority issue: zero water availability in our block, health risks are rising.",Water Supply,Shortage,High,"this is a highpriority issue zero water availability in our block, health risks are rising."
We are forced to buy water tankers due to the municipal supply being cut off for a week.,Water Supply,Shortage,High,we are forced to buy water tankers due to the municipal supply being cut off for a week.
"Our entire colony is completely parched, urgent water restoration is requested.",Water Supply,Shortage,High,"our entire colony is completely parched, urgent water restoration is requested."
Persistent water shortage is causing immense hardship and frustration in our community.,Water Supply,Shortage,High,persistent water shortage is causing immense hardship and frustration in our community.
Please address the grave water scarcity in our mohalla immediately; it's unsustainable.,Water Supply,Shortage,High,please address the grave water scarcity in our mohalla immediately its unsustainable.
The water tanks are empty and there has been no supply from the corporation for days.,Water Supply,Shortage,High,the water tanks are empty and there has been no supply from the corporation for days.
"Serious lack of water affecting hundreds of families in Shastri Nagar, immediate relief needed.",Water Supply,Shortage,High,"serious lack of water affecting hundreds of families in shastri nagar, immediate relief needed."
"Our area is completely cut off from water supply, an emergency situation requiring swift action.",Water Supply,Shortage,High,"our area is completely cut off from water supply, an emergency situation requiring swift action."
"For weeks, we have had only irregular and highly insufficient water supply, a major concern.",Water Supply,Shortage,High,"for weeks, we have had only irregular and highly insufficient water supply, a major concern."
"The situation is critical; zero water pressure in our taps, making any use impossible.",Water Supply,Shortage,High,"the situation is critical zero water pressure in our taps, making any use impossible."
Drinking water is a major issue due to a complete absence of supply in our area.,Water Supply,Shortage,High,drinking water is a major issue due to a complete absence of supply in our area.
We request immediate action on the severe water shortage impacting daily life here.,Water Supply,Shortage,High,we request immediate action on the severe water shortage impacting daily life here.
"No water since morning, impacting cooking, bathing, and all sanitation activities.",Water Supply,Shortage,High,"no water since morning, impacting cooking, bathing, and all sanitation activities."
The residents of Indira Nagar are struggling without adequate water for basic survival.,Water Supply,Shortage,High,the residents of indira nagar are struggling without adequate water for basic survival.
"Complete water outage in our society for more than 24 hours now, desperate for supply.",Water Supply,Shortage,High,"complete water outage in our society for more than 24 hours now, desperate for supply."
Our street hasn't seen a drop of water from the municipal corporation for over two days.,Water Supply,Shortage,High,our street hasnt seen a drop of water from the municipal corporation for over two days.
Children and elderly are suffering greatly due to this persistent water scarcity in our ward.,Water Supply,Shortage,High,children and elderly are suffering greatly due to this persistent water scarcity in our ward.
"Daily water supply has stopped completely in our sector, causing major health concerns.",Water Supply,Shortage,High,"daily water supply has stopped completely in our sector, causing major health concerns."
"The taps are constantly dry, we are unable to perform any household chores due to water scarcity.",Water Supply,Shortage,High,"the taps are constantly dry, we are unable to perform any household chores due to water scarcity."
Urgent water supply restoration is needed; our area has been completely dry for 72 hours.,Water Supply,Shortage,High,urgent water supply restoration is needed our area has been completely dry for 72 hours.
We are experiencing an unprecedented water shortage; no supply for almost a week.,Water Supply,Shortage,High,we are experiencing an unprecedented water shortage no supply for almost a week.
"The water crisis in our area is reaching breaking point, please send tankers or restore supply.",Water Supply,Shortage,High,"the water crisis in our area is reaching breaking point, please send tankers or restore supply."
"Our entire building has no water, making living conditions extremely difficult, urgent help needed.",Water Supply,Shortage,High,"our entire building has no water, making living conditions extremely difficult, urgent help needed."
"For the last five days, only 15 minutes of water supply, completely inadequate for our needs.",Water Supply,Shortage,High,"for the last five days, only 15 minutes of water supply, completely inadequate for our needs."
Severe scarcity of water is causing widespread distress among residents in our neighbourhood.,Water Supply,Shortage,High,severe scarcity of water is causing widespread distress among residents in our neighbourhood.
The lack of water supply is a grave public health issue; please intervene immediately.,Water Supply,Shortage,High,the lack of water supply is a grave public health issue please intervene immediately.
We have been completely without water for over two days; our reservoirs are bone dry.,Water Supply,Shortage,High,we have been completely without water for over two days our reservoirs are bone dry.
"This area has been grappling with irregular and scarce water for months, now it's zero.",Water Supply,Shortage,High,"this area has been grappling with irregular and scarce water for months, now its zero."
"No water for four consecutive days, this is an emergency, kindly prioritize our complaint.",Water Supply,Shortage,High,"no water for four consecutive days, this is an emergency, kindly prioritize our complaint."
"Our locality is experiencing an absolute absence of water, affecting hundreds of homes.",Water Supply,Shortage,High,"our locality is experiencing an absolute absence of water, affecting hundreds of homes."
"The water pressure is non-existent, making it impossible to even collect water.",Water Supply,Shortage,High,"the water pressure is nonexistent, making it impossible to even collect water."
We are facing a severe drinking water crisis due to no supply from the corporation.,Water Supply,Shortage,High,we are facing a severe drinking water crisis due to no supply from the corporation.
Please investigate and restore water supply immediately; our taps are completely dry.,Water Supply,Shortage,High,please investigate and restore water supply immediately our taps are completely dry.
The chronic water shortage in our area requires urgent and permanent solutions.,Water Supply,Shortage,High,the chronic water shortage in our area requires urgent and permanent solutions.
My family is struggling with no water for cooking or bathing for over three days.,Water Supply,Shortage,High,my family is struggling with no water for cooking or bathing for over three days.
"The situation is dire: zero water supply in our housing complex, please act fast.",Water Supply,Shortage,High,"the situation is dire zero water supply in our housing complex, please act fast."
Residents are desperate due to the complete lack of water supply for the past few days.,Water Supply,Shortage,High,residents are desperate due to the complete lack of water supply for the past few days.
"We have received no water for days, forcing us to spend heavily on private tankers.",Water Supply,Shortage,High,"we have received no water for days, forcing us to spend heavily on private tankers."
"The municipal water supply has completely failed in our block, causing great hardship.",Water Supply,Shortage,High,"the municipal water supply has completely failed in our block, causing great hardship."
"Our area has been experiencing an extreme water shortage, please provide a solution.",Water Supply,Shortage,High,"our area has been experiencing an extreme water shortage, please provide a solution."
"For a week, we've had no water supply, jeopardizing our health and well-being.",Water Supply,Shortage,High,"for a week, weve had no water supply, jeopardizing our health and wellbeing."
The water situation is critical; negligible supply making daily life impossible.,Water Supply,Shortage,High,the water situation is critical negligible supply making daily life impossible.
Urgent resolution needed for the prolonged water scarcity in our residential area.,Water Supply,Shortage,High,urgent resolution needed for the prolonged water scarcity in our residential area.
"Our taps are dry and there's no indication of water supply returning, help immediately.",Water Supply,Shortage,High,"our taps are dry and theres no indication of water supply returning, help immediately."
The community is suffering due to a complete cut-off of municipal water supply.,Water Supply,Shortage,High,the community is suffering due to a complete cutoff of municipal water supply.
"Water supply has ceased for the last 48 hours, creating an unbearable situation.",Water Supply,Shortage,High,"water supply has ceased for the last 48 hours, creating an unbearable situation."
"This is an appeal for urgent water restoration, our area is completely dry.",Water Supply,Shortage,High,"this is an appeal for urgent water restoration, our area is completely dry."
Critical lack of water affecting children and schools in our vicinity.,Water Supply,Shortage,High,critical lack of water affecting children and schools in our vicinity.
"We haven't had any water for bathing or cleaning for days, a serious health hazard.",Water Supply,Shortage,High,"we havent had any water for bathing or cleaning for days, a serious health hazard."
"The water crisis in our region needs immediate attention, residents are struggling.",Water Supply,Shortage,High,"the water crisis in our region needs immediate attention, residents are struggling."
Our area is experiencing a severe drought-like situation with no water supply.,Water Supply,Shortage,High,our area is experiencing a severe droughtlike situation with no water supply.
"Please intervene, our homes have been without water for a prolonged period.",Water Supply,Shortage,High,"please intervene, our homes have been without water for a prolonged period."
"The municipal water pipelines seem to be completely dry, no water flowing for days.",Water Supply,Shortage,High,"the municipal water pipelines seem to be completely dry, no water flowing for days."
"For the third consecutive day, our water taps are completely dry, we need help.",Water Supply,Shortage,High,"for the third consecutive day, our water taps are completely dry, we need help."
Residents are utterly frustrated with the lack of any water supply from the corporation.,Water Supply,Shortage,High,residents are utterly frustrated with the lack of any water supply from the corporation.
This grave water shortage is making it impossible for families to sustain daily life.,Water Supply,Shortage,High,this grave water shortage is making it impossible for families to sustain daily life.
"Our colony has no water at all, leading to significant inconvenience and distress.",Water Supply,Shortage,High,"our colony has no water at all, leading to significant inconvenience and distress."
We are begging for water supply; our area has been without it for too long.,Water Supply,Shortage,High,we are begging for water supply our area has been without it for too long.
The critical water deficit in our ward is impacting every household severely.,Water Supply,Shortage,High,the critical water deficit in our ward is impacting every household severely.
Urgent water supply is required; our community is facing an absolute dry spell.,Water Supply,Shortage,High,urgent water supply is required our community is facing an absolute dry spell.
"No water has come through our pipelines for days, a high priority concern.",Water Supply,Shortage,High,"no water has come through our pipelines for days, a high priority concern."
The persistent absence of water supply is causing widespread panic here.,Water Supply,Shortage,High,the persistent absence of water supply is causing widespread panic here.
Our residential area is in crisis due to the complete stoppage of water.,Water Supply,Shortage,High,our residential area is in crisis due to the complete stoppage of water.
Please dispatch water tankers or restore supply immediately; no water for days.,Water Supply,Shortage,High,please dispatch water tankers or restore supply immediately no water for days.
"We are enduring a severe water famine, affecting hundreds of families.",Water Supply,Shortage,High,"we are enduring a severe water famine, affecting hundreds of families."
"The water supply has completely vanished, posing a severe threat to public health.",Water Supply,Shortage,High,"the water supply has completely vanished, posing a severe threat to public health."
"Our neighbourhood is completely out of water, urgent action is needed to resolve this.",Water Supply,Shortage,High,"our neighbourhood is completely out of water, urgent action is needed to resolve this."
"For days, our water connections have yielded nothing, making life very hard.",Water Supply,Shortage,High,"for days, our water connections have yielded nothing, making life very hard."
The citizens here are suffering from a critical lack of essential water supply.,Water Supply,Shortage,High,the citizens here are suffering from a critical lack of essential water supply.
We need immediate water provision; our locality is completely dry and desperate.,Water Supply,Shortage,High,we need immediate water provision our locality is completely dry and desperate.
The situation is desperate; no water for essential needs for over 72 hours.,Water Supply,Shortage,High,the situation is desperate no water for essential needs for over 72 hours.
Our area is experiencing an extreme water shortage; please restore supply without delay.,Water Supply,Shortage,High,our area is experiencing an extreme water shortage please restore supply without delay.
A large pothole near the main entrance of R.K. Nagar is causing daily inconvenience for commuters.,Roads,Pothole,Medium,a large pothole near the main entrance of r.k. nagar is causing daily inconvenience for commuters.
The stretch of road outside D.A.V. School on Pratap Marg is riddled with dangerous potholes.,Roads,Pothole,Medium,the stretch of road outside d.a.v. school on pratap marg is riddled with dangerous potholes.
"Multiple potholes have developed on the road leading to the industrial area, causing vehicle damage.",Roads,Pothole,Medium,"multiple potholes have developed on the road leading to the industrial area, causing vehicle damage."
"There's a deep pothole on the intersection of Gandhi Road and Nehru Street, especially hazardous at night.",Roads,Pothole,Medium,"theres a deep pothole on the intersection of gandhi road and nehru street, especially hazardous at night."
The road in front of the community hall in Shakti Vihar needs immediate pothole repair.,Roads,Pothole,Medium,the road in front of the community hall in shakti vihar needs immediate pothole repair.
Potholes have made the entire route through Green Park colony almost undriveable.,Roads,Pothole,Medium,potholes have made the entire route through green park colony almost undriveable.
A significant pothole near the bus stop on Civil Lines is causing traffic bottlenecks.,Roads,Pothole,Medium,a significant pothole near the bus stop on civil lines is causing traffic bottlenecks.
The road opposite the Government Hospital has several potholes that fill with water during rain.,Roads,Pothole,Medium,the road opposite the government hospital has several potholes that fill with water during rain.
We request urgent attention to the large pothole near the old post office on Mall Road.,Roads,Pothole,Medium,we request urgent attention to the large pothole near the old post office on mall road.
The constant presence of potholes on Shiv Mandir Road is a hazard for two-wheelers.,Roads,Pothole,Medium,the constant presence of potholes on shiv mandir road is a hazard for twowheelers.
Potholes have reappeared on the newly repaired stretch of road in Indira Nagar.,Roads,Pothole,Medium,potholes have reappeared on the newly repaired stretch of road in indira nagar.
Residents of Saraswati Vihar are facing issues due to numerous potholes on their main access road.,Roads,Pothole,Medium,residents of saraswati vihar are facing issues due to numerous potholes on their main access road.
The road leading to the municipal market is in a deplorable state due to multiple potholes.,Roads,Pothole,Medium,the road leading to the municipal market is in a deplorable state due to multiple potholes.
A series of potholes on the bridge connecting Sector 10 and Sector 11 are causing slow traffic.,Roads,Pothole,Medium,a series of potholes on the bridge connecting sector 10 and sector 11 are causing slow traffic.
