text,department,intent
update on grievance ticket req-012 is abhi tak solve nahi kiya plz help,revenue,status_check
Please provide tree pruning and heavy branch cutting in my society thanks in advance.,parks,service_request
"dear sir, plz arrange new garbage bins provision for our gully here plz.",solid_waste,service_request
pls send team fast gas leakage smelling heavily right now!! save us!!,disaster_management,emergency
mera grievance ticket 992A is no reply from officials why delay? !!! ??,sewerage,status_check
every single day same painful issue: disgusting neglect garbage dump overflowing smelling like hell in entire it sector we are paying taxes for what?,solid_waste,complaint
@bmc complaint regarding paani ki main pipe toot gayi hai drinking water leaks entire ward 4 wtf administration !!!,water_supply,complaint
Arrange tree pruning and heavy branch cutting ward 10 paying heavy taxes for this ??,parks,service_request
hey bmc kaise kare property tax penalty due date website link dena? thanks,revenue,query
hello request for dead animal carcass pickup here paying heavy taxes for this,health,service_request
hello application submitted for tree pruning and heavy branch cutting main road very urgent request.,parks,service_request
hello i need info on contact the local ward officer or corporator website link dena? thanks,revenue,query
To ward officer: Please provide tree pruning and heavy branch cutting in sector 5 kindly do it.,parks,service_request
@mayor i am extremely angry kachra gaadi hasn't come for a week in kalyan east we are paying taxes for what? ??,solid_waste,complaint
please tell complaint no req-012 is dikha raha hai open but nobody working solve this asapp,health,status_check
Hey bmc kaise kr property tax penalty due date kidhar milega form?,revenue,query
🚨 live high tension wire snapped and fell right now!! ambulance need urjent,electricity,emergency
question: kaise kare pay property tax online without fine plz. thanks,revenue,query
worst city management paani ki main pipe toot gayi hai drinking water leaks in kalyan east wtf administration,water_supply,complaint
🚨 huge banyan tree fell on main road right now!! save us!!,disaster_management,emergency
critical sparking transformer se aag lagri at our residential society kuch karo bhagwan ke liye,electricity,emergency
Please arrange malba and construction debris lifting from pavement immediately please. ??,solid_waste,service_request
Please arrange daily road sweeping service immediately kindly do it. ??,solid_waste,service_request
"dear sir/madam, info needed urgently: check ward map zoning restrictions ? anyone?",revenue,query
@pmcpune can someone tell me check ward map zoning restrictions kidhar milega form? anyone?,revenue,query
immediate action needed flyover bridge cracking and sinking at mg road kuch karo bhagwan ke liye !!!,roads,emergency
question: info needed urgently: pay property tax online without fine website link dena? thanks,revenue,query
"dear sir, application submitted for new garbge bins provision for our gully ward 10 kindly do it.",solid_waste,service_request
someone come quick gas leakage smelling heavily right here kuch karo bhagwan ke liye,disaster_management,emergency
@corporator i am formally applying for daily rod sweeping service near public park paying heavy taxes for this,solid_waste,service_request
plz provide drinking water tanker delivery at laut gate very urgent request.,water_supply,service_request
plz sir status of service request sr- req-012 is no reply from officials plz reply @corporator,revenue,status_check
every single day same painful issue: i am extremely angry zero water supply since 4 straight days entire ward 4 we r paying taxes for what?,water_supply,complaint
to ward officer: request for tree pruning and heavy branch cutting in my society very urgent request.,parks,service_request
what is happening with application number 992a is pending since 3 weeks @bmc,revenue,status_check
"listen here, i am extremely angry drainage clogged dirty smelly water covering road all over this garbage city plz fix immediately !!!",sewerage,complaint
"listen here, sick of this sadak pe itne gaddhe hai gaadi chalana muskil entire ward 4 kuch toh sharam karo bmc",roads,complaint
Hello Request for daily road sweeping service in my society thanks in advance. !!!,solid_waste,service_request
To ward officer: Request for daily road sweeping service immediately jaldi bhejo team pls !!! ??,solid_waste,service_request
I want to know complaint ID 8902 is nobody from bmc came please reply @corporator,solid_waste,status_check
mcd plz massive fire outbreak near transformer right now!! danger alert!,disaster_management,emergency
@pmcpune how to which department handles potholes kidhar milega form?,roads,query
@mayor disgusting neglect illegal massive encroachment on footpaths all over this garbage city do ur goddamn job,revenue,complaint
kya hua complaint no 992a is pending since 3 weeks @bmc,sewerage,status_check
@PMCPune kaha se find garbage truck daily timing help desk number? fast reply needed,solid_waste,query
Status of grievance ticket XXXXX is waiting for 1 month straight kuch karo iska,water_supply,status_check
track application number 8902 is nobody from bmc came why delay? !!!,electricity,status_check
to ward officer: please provide dead animal carcass pickup immediately paying heavy taxes for this,health,service_request
help! flyover bridge cracking and sinking ward 15 do something quick,roads,emergency
immediate action needed aag lag gayi hai 3rd floor mein right here ambulance need urjent,disaster_management,emergency
kya hua complaint no REQ-012 is waiting for 1 month straight frustrated citizen,roads,status_check
@pmcpune kaha se calculate fsi floor space index for plot any direct link? anyone?,revenue,query
"Dear Sir, application submitted for malba and construction debris lifting from pavement here jaldi bhejo team pls",solid_waste,service_request
Question: Can someone tell me renew my commercial trade license ? thanks,revenue,query
I want to know complaint no 992A is pending since 3 weeks why delay?,roads,status_check
"Dear Sir, Arrange drinking wter tanker delivery near public park plz.",water_supply,service_request
"listen here, kyahai yeh mcd gutter floating on streets pure sewage entire ward 4 we are paying taxes for what? !!!",sewerage,complaint
hey bmc how to renew my commercial trade license plz tell bro !!!,revenue,query
Hello I am formally applying for tree pruning and heavy branch cutting ward 10 paying heavy taxes for this,parks,service_request
aag lag gayi hai 3rd floor mein near dadar station do something quick,disaster_management,emergency
glae mein paani bhar gaya hai log doob rahe right here jaldi aao pls !!!,disaster_management,emergency
"listen here, worst city management garbage dump overflowing smelling like hell in entire it sector we r paying taxes for what?",solid_waste,complaint
@mayor complaint regarding huge crater potholes cracking my car suspension all over this garbage city kuch toh sharam karo bmc,roads,complaint
live high tension wire snapped and fell ward 15 danger alert! ??,electricity,emergency
What is the procedure to pay property tax online without fine ? anyone? !!!,revenue,query
how to pay property tax online without fine ? thanks,revenue,query
i want to know reference id req-012 is nobody from bmc came plz reply @corporator,water_supply,status_check
@PMCPune How to property tax penalty due date ? anyone?,revenue,query
question: i need info on contact the local ward officer or corporator kidhar milega form? thanks,revenue,query
@mayor reporting total failure of gutter floating on streets pure sewage all over this garbage city plz fix immediately !!!,sewerage,complaint
every single day same painful issue: worst city management paani ki main pipe toot gayi hai drinking wter leaks all over this garbge city we are paying taxes for what?,water_supply,complaint
MCD plz glae mein paani bhar gaya hai log doob rahe ward 15 ambulance need urjent,disaster_management,emergency
I want to know application number 8902 is dikha raha hai open but nobody working kuch karo iska,parks,status_check
@bmc Reporting total failure of sadak pe itne gaddhe hai gaadi chalana muskil entire ward 4 wtf administration ??,roads,complaint
@corporator request for new garbage bins provision for our gully ward 10 paying heavy taxes for this,solid_waste,service_request
@corporator Please provide new garbage bins provision for our gully ward 10 thanks in advance.,solid_waste,service_request
"Dear Sir/Madam, Can someone tell me check ward map zoning restrictions plz. fast reply needed",revenue,query
hey bmc i need info on which department handles potholes plz tell bro anyone?,roads,query
Status of grievance ticket XXXXX is nobody from bmc came solve this asapp,sewerage,status_check
Track complaint no REQ-012 is not resolved yet on portal kab hoga finally? ??,sewerage,status_check
help! building collapsed completely malba everywhere at our residential society save us!! ??,disaster_management,emergency
to ward officer: plz arrange drinking water tanker delivery in sector 5 kripya dhyan de ??,water_supply,service_request
every single day same painful issue: kyahai yeh mcd huge crater potholes cracking my car suspension at mg road signal plz fix immediately !!!,roads,complaint
"dear sir, application submitted for daily road sweeping service ward 10 plz.",solid_waste,service_request
question: can someone tell me contact the local ward officer or corporator urgent question!! fast reply needed,revenue,query
plz sir status of complaint id 992a is not resolved yet on portal solve this asapp !!!,health,status_check
CRITICAL severe flooding water entering living room in bandra do something quick,disaster_management,emergency
@bmc i am extremely angry garbage dump overflowing smelling like hell all over this garbage city shameful reality,solid_waste,complaint
someone come quick glae mein paani bhar gaya hai log doob rahe near dadar station send fire brigade fast,disaster_management,emergency
How to renew my commercial trade license help desk number? fast reply needed,revenue,query
@mayor I am extremely angry illegal massive encroachment on footpaths all over this garbge city we r paying taxes for what? ??,revenue,complaint
@bmc Worst city management drainage clogged dirty smelly water covering road entire ward 4 shameful reality,sewerage,complaint
@PMCPune Can someone tell me apply for death certificate duplicate website link dena? thanks !!!,health,query
Please provide choked sewage tank machine cleaning nagar thanks in advance. !!!,sewerage,service_request
@bmc Complaint regarding gutter floating on streets pure sewage at mg road signal kuch toh sharam karo bmc,sewerage,complaint
🚨 flyover bridge cracking and sinking in bandra kuch karo bhagwan ke liye,roads,emergency
worst city management huge crater potholes cracking my car suspension entire ward 4 plz fix immediately !!!,roads,complaint
to ward officer: application submitted for malba and construction debris lifting from pavement here thanks in advance. ??,solid_waste,service_request
plz tell service request sr- req-012 is waiting for 1 month straight solve this asapp,solid_waste,status_check
hey bmc how to check ward map zoning restrictions website link dena? thanks ??,revenue,query
Update on application number 992A is not resolved yet on portal kab hoga finally? !!!,roads,status_check
disgusting neglect sadak pe itne gaddhe hai gaadi chalana muskil entire ward 4 kuch toh sharam karo bmc,roads,complaint
@bmc Complaint regarding huge crater potholes cracking my car suspension all over this garbage city shameful reality ??,roads,complaint
Immediate action needed sparking transformer se aag lagri immediately danger alert!,electricity,emergency
status of grievance ticket bmc-1929 is abhi tak solve nahi kiya kab hoga finally? ??,revenue,status_check
MCD plz glae mein paani bhar gaya hai log doob rahe near dadar station jaldi aao pls,disaster_management,emergency
Check service request SR- XXXXX is no reply from officials @bmc,roads,status_check
i am formally applying for new garbage bins provision for our gully nagar paying heavy taxes for this,solid_waste,service_request
@mayor kyahai yeh mcd huge crater potholes cracking my car suspension right outside my house door solve it officially,roads,complaint
question: i need info on property tax penalty due date urgent question!! fast reply needed ??,revenue,query
glae mein paani bhar gaya hai log doob rahe right now!! bachao,disaster_management,emergency
Hello info needed urgently: contact the local ward officer or corporator any direct link? anyone?,revenue,query
@mayor kyahai yeh mcd kachra gaadi hasn't come for a week at mg rod signal plz fix immediately,solid_waste,complaint
request for tree pruning and heavy branch cutting main road thanks in advance.,parks,service_request
Arrange mosquito fogging in entire residential society immediately paying heavy taxes for this,health,service_request
To ward officer: Require malba and construction debris lifting from pavement main road thanks in advance.,solid_waste,service_request
@PMCPune Where can I file water tax arrears please. anyone? !!! ??,water_supply,query
@bmc horrible infra kachra gaadi hasn't come for a week in kalyan east bmc is totally blind,solid_waste,complaint
immediate action needed huge rabid dog attacked kids right now!! kuch karo bhagwan ke liye,health,emergency
plz tell complaint id 45928 is abhi tak solve nahi kiya plz reply @corporator ??,revenue,status_check
@corporator Please provide mosquito fogging in entire residential society at laut gate very urgent request.,health,service_request
@bmc Worst city management drainage clogged dirty smelly water covering road at mg road signal solve it officially,sewerage,complaint
help! gas leakage smelling heavily at mg road send fire brigade fast !!!,disaster_management,emergency
"listen here, kyahai yeh mcd drainage clogged dirty smelly water covering road in entire it sector kuch toh sharam karo bmc",sewerage,complaint
Immediate action needed chhat gir gayi log dab gaye right here ambulance need urjent,disaster_management,emergency
@mayor Worst city management kachra gaadi hasn't come for a week entire ward 4 do ur goddamn job,solid_waste,complaint
every single day same painful issue: sick of this garbge dump overflowing smelling like hell in entire it sector we are paying taxes for what? !!!,solid_waste,complaint
every single day same painful issue: i am extremely angry paani ki main pipe toot gayi hai drinking water leaks all over this garbage city bmc is totally blind !!!,water_supply,complaint
can someone tell me contact the local ward officer or corporator help desk number?,revenue,query
@pmcpune kaise kr check ward map zoning restrictions ?,revenue,query
question: what is the procedure to calculate fsi floor space index for plot plz. thanks,revenue,query
@mayor complaint regarding gutter floating on streets pure sewage in kalyan east shameful reality ??,sewerage,complaint
mera application number 45928 is dikha raha hai open but nobody working why delay?,parks,status_check
help! sparking transformer se aag lagri right now!! kuch karo bhagwan ke liye !!!,electricity,emergency
hello kaha se which department handles potholes any direct link? thanks,roads,query
@PMCPune I need info on contact the local ward officer or corporator website link dena? !!!,revenue,query
to ward officer: request for pest control chemical spraying immediately kindly do it.,health,service_request
Hello What is the procedure to property tax penalty due date kidhar milega form? thanks !!!,revenue,query
Hello Can someone tell me calculate FSI floor space index for plot website link dena? thanks,revenue,query
"Listen here, Sick of this paani ki main pipe toot gayi hai drinking wter leaks right outside my house door do ur goddamn job !!!",water_supply,complaint
Question: kaha se pay property tax online without fine plz tell bro thanks,revenue,query
"dear sir, arrange pest control chemical spraying in my society jaldi bhejo team pls !!!",health,service_request
i want to know complaint no req-012 is dikha raha hai open but nobody working kab hoga finally?,roads,status_check
status of application number xxxxx is nobody from bmc came please reply @corporator,disaster_management,status_check
@corporator application submitted for choked sewage tank machine cleaning here jaldi bhejo team pls,sewerage,service_request
hello i need info on apply for death certificate duplicate kidhar milega form? fast reply needed,health,query
urgent: flyover bridge cracking and sinking in bandra jaldi aao pls ??,roads,emergency
kya hua reference id 992a is nobody from bmc came frustrated citizen,electricity,status_check
@PMCPune Where can I contact the local ward officer or corporator kidhar milega form? anyone?,revenue,query
To ward officer: Please provide tree pruning and heavy branch cutting at layout gate jaldi bhejo team pls ??,parks,service_request
@corporator plz arrange choked sewage tank machine cleaning in sector 5 paying heavy taxes for this,sewerage,service_request
@bmc kyahai yeh mcd drainage clogged dirty smelly water covering road right outside my house door plz fix immediately,sewerage,complaint
pls send team fast live high tension wire snapped and fell ward 15 do something quick,electricity,emergency
someone come quick aag lag gayi hai 3rd floor mein at our residential society danger alert!,disaster_management,emergency
someone come quick current lag raha hai nange taar se near dadar station do something quick !!!,electricity,emergency
what is the procedure to calculate fsi floor space index for plot plz tell bro thanks,revenue,query
where can i apply for death certificate duplicate plz.,health,query
"Listen here, kyahai yeh mcd sadak pe itne gaddhe hai gaadi chalana muskil in kalyan east please fix immediately",roads,complaint
someone come quick massive fire outbreak near transformer at mg road bachao,disaster_management,emergency
kya hua service request SR- REQ-012 is stuck in processing department plz reply @corporator,roads,status_check
@corporator I am formally applying for new garbage bins provision for our gully main road paying heavy taxes for this,solid_waste,service_request
update on complaint id req-012 is waiting for 1 month straight solve this asapp,health,status_check
every single day same painful issue: worst city management huge crater potholes cracking my car suspension at mg road signal plz fix immediately,roads,complaint
@mayor horrible infra kachra gaadi hasn't come for a week in kalyan east kuch toh sharam karo bmc,solid_waste,complaint
Question: How to check ward map zoning restrictions kidhar milega form? fast reply needed,revenue,query
every single day same painful issue: worst city management street lights totally dead pitch black right outside my house door plz fix immediately,electricity,complaint
critical chhat gir gayi log dab gaye right now!! jaldi aao pls,disaster_management,emergency
"listen here, kyahai yeh mcd kachra gaadi hasn't come for a week all over this garbage city we are paying taxes for what?",solid_waste,complaint
@PMCPune Where can I renew my commercial trade license kidhar milega form? fast reply needed,revenue,query
pls send team fast building collapsed completely malba everywhere at mg road do something quick !!! ??,disaster_management,emergency
info needed urgently: get a birth certificate registration done any direct link? anyone? !!!,health,query
I need info on renew my commercial trade license ? anyone? !!!,revenue,query
urgent: fatal accident multiple injured right here save us!!,roads,emergency
huge banyan tree fell on main road near dadar station bachao !!!,disaster_management,emergency
@PMCPune Can someone tell me calculate FSI floor space index for plot plz.,revenue,query
plz sir status of grievance ticket 45928 is not resolved yet on portal plz reply @corporator !!!,revenue,status_check
mcd plz fatal accident multiple injured right here danger alert!,roads,emergency
Hello We need malba and construction debris lifting from pavement main road paying heavy taxes for this,solid_waste,service_request
bhai huge banyan tree fell on main road in bandra send fire brigade fast,disaster_management,emergency
"Listen here, Complaint regarding drainage clogged dirty smelly water covering road entire ward 4 plz fix immediately",sewerage,complaint
question: info needed urgently: file wter tax arrears plz tell bro ??,water_supply,query
@mayor reporting total failure of sadak pe itne gaddhe hai gaadi chalana muskil entire ward 4 we are paying taxes for what?,roads,complaint
"Listen here, I am extremely angry street lights totally dead pitch black at mg rod signal solve it officially",electricity,complaint
info needed urgently: file water tax arrears urgent question!! thanks !!!,water_supply,query
@corporator Please provide drinking water tanker delivery here kindly do it.,water_supply,service_request
status of application number 992a is not resolved yet on portal kab hoga finally?,roads,status_check
🚨 fatal accident multiple injured ward 15 bachao,roads,emergency
🚨 flyover bridge cracking and sinking immediately bachao !!!,roads,emergency
kaha se calculate FSI floor space index for plot plz.,revenue,query
"dear sir/madam, kaha se contact the local ward officer or corporator urgent question!! anyone?",revenue,query
track complaint id 992a is dikha raha hai open but nobody working why delay?,sewerage,status_check
i am extremely angry huge crater potholes cracking my car suspension in entire it sector please fix immediately,roads,complaint
urgent: fatal accident multiple injured immediately kuch karo bhagwan ke liye,roads,emergency
please arrange new garbage bins provision for our gully here thanks in advance. ??,solid_waste,service_request
glae mein paani bhar gaya hai log doob rahe right now!! bachao,disaster_management,emergency
hello require mosquito fogging in entire residential society immediately plz. !!!,health,service_request
check service request sr- xxxxx is abhi tak solve nahi kiya kab hoga finally? ??,revenue,status_check
